#	X1	L1(X1)	L2(X1)
  0.00000   5.00000   0.00000
  0.01000   5.00750   0.01042
  0.02000   5.01498   0.02083
  0.03000   5.02246   0.03125
  0.04000   5.02992   0.04167
  0.05000   5.03737   0.05208
  0.06000   5.04482   0.06250
  0.07000   5.05226   0.07292
  0.08000   5.05968   0.08333
  0.09000   5.06710   0.09375
  0.10000   5.07450   0.10417
  0.11000   5.08190   0.11458
  0.12000   5.08928   0.12500
  0.13000   5.09666   0.13542
  0.14000   5.10402   0.14583
  0.15000   5.11138   0.15625
  0.16000   5.11872   0.16667
  0.17000   5.12606   0.17708
  0.18000   5.13338   0.18750
  0.19000   5.14070   0.19792
  0.20000   5.14800   0.20833
  0.21000   5.15530   0.21875
  0.22000   5.16258   0.22917
  0.23000   5.16986   0.23958
  0.24000   5.17712   0.25000
  0.25000   5.18438   0.26042
  0.26000   5.19162   0.27083
  0.27000   5.19886   0.28125
  0.28000   5.20608   0.29167
  0.29000   5.21330   0.30208
  0.30000   5.22050   0.31250
  0.31000   5.22770   0.32292
  0.32000   5.23488   0.33333
  0.33000   5.24206   0.34375
  0.34000   5.24922   0.35417
  0.35000   5.25638   0.36458
  0.36000   5.26352   0.37500
  0.37000   5.27066   0.38542
  0.38000   5.27778   0.39583
  0.39000   5.28490   0.40625
  0.40000   5.29200   0.41667
  0.41000   5.29910   0.42708
  0.42000   5.30618   0.43750
  0.43000   5.31326   0.44792
  0.44000   5.32032   0.45833
  0.45000   5.32737   0.46875
  0.46000   5.33442   0.47917
  0.47000   5.34146   0.48958
  0.48000   5.34848   0.50000
  0.49000   5.35550   0.51042
  0.50000   5.36250   0.52083
  0.51000   5.36949   0.53125
  0.52000   5.37648   0.54167
  0.53000   5.38346   0.55208
  0.54000   5.39042   0.56250
  0.55000   5.39738   0.57292
  0.56000   5.40432   0.58333
  0.57000   5.41126   0.59375
  0.58000   5.41818   0.60417
  0.59000   5.42509   0.61458
  0.60000   5.43200   0.62500
  0.61000   5.43890   0.63542
  0.62000   5.44578   0.64583
  0.63000   5.45266   0.65625
  0.64000   5.45952   0.66667
  0.65000   5.46638   0.67708
  0.66000   5.47322   0.68750
  0.67000   5.48006   0.69792
  0.68000   5.48688   0.70833
  0.69000   5.49370   0.71875
  0.70000   5.50050   0.72917
  0.71000   5.50730   0.73958
  0.72000   5.51408   0.75000
  0.73000   5.52086   0.76042
  0.74000   5.52762   0.77083
  0.75000   5.53437   0.78125
  0.76000   5.54112   0.79167
  0.77000   5.54786   0.80208
  0.78000   5.55458   0.81250
